total,bed,bath,square,lot,price,type,built,garage,address,city,state,zip,elementary school,middle school,high school,Collateral,CoreLogic,Quantarium
"2,375,000",5,2,3590,2748,662,Multi-Family Home,1908,,4414-4416 20th St,San Francisco,CA,94114,2,4,4,$2703000 $2914066 $3408672,$2769400 $2226400 $2593600,$2841687 $2615645 $2843788
"5,400,000",4,3.5,3600,2848,"1,500",Single Family Home,1900,,481 Jersey St,San Francisco,CA,94114,9,7,2,$5320000 $5024415 $5346149,$5638400 $4741700 $4897900,$5294177 $4444509 $4654211
"2,995,000",4,2.5,2892,2850,"1,036",Single Family Home,1905,,3860 21st St,San Francisco,CA,94114,2,4,4,$3573000 $3172655 $3711152,$3615800 $2696400 $3671900,$3477637 $2978048 $3237800
"995,000",2,1,930,,"1,070",Condo,1900,1 Car,730 Castro St,San Francisco,CA,94114,2,4,4,$1279000 $1136589 $1329503,$1290000 $1053100 $1306900,$1195687 $973749 $1133102
"849,000",2,1,800,,,Condo,1913,,1200 Castro St Apt 2,San Francisco,CA,94114,2,7,2,$947000 $900336 $1053151,,$1034553 $957022 $1002625
"4,695,000",3,2.5,2112,,"2,223",Condo,2016,1 Car,2121 Webster St Apt 301,San Francisco,CA,94115,6,6,7,$4555000 $4409769 $5033980,,$4452014 $4606382 $4609863
"1,599,000",3,2,1500,,"1,066",Condo,1908,1 Car,1951 Golden Gate Ave,San Francisco,CA,94115,8,9,Not rated,$1529000 $1544338 $1762942,$1524000 $1127000 $1504500,$1545797 $1207225 $1397907
"1,449,000",3,2,1456,,995,Condo,1890,1 Car,1922 Laguna St,San Francisco,CA,94115,6,6,7,$1631000 $1529639 $1746162,$1443200 $1350700 $1340100,$1432215 $1496956 $1488406
"1,699,000",2,2,1578,,"1,077",Condo,1902,1 Car,1919 Broderick St,San Francisco,CA,94115,6,9,Not rated,$1876000 $1796981 $2051347,$1619500 $1527200 $1485300,$1673712 $1786597 $1539978
"2,600,000",2,2,1440,,"1,806",Condo,2016,1 Car,2121 Webster St Apt 304,San Francisco,CA,94115,6,6,7,$2832000 $2574203 $2938586,,$2595263 $2993170 $2995432
"1,095,000",2,2,1243,,881,Condo,1983,1 Car,1903 Eddy St Apt 1,San Francisco,CA,94115,6,9,Not rated,$1469000 $1291695 $1474537,$1290800 $1051900 $1356800,$1263539 $1180468 $1181360
"1,198,000",2,2,1063,,"1,127",Condo,1984,1 Car,2040 Sutter St Apt 402,San Francisco,CA,94115,6,6,7,$1139000 $1166752 $1331907,$1242100 $1040000 $1171200,$1223427 $1058001 $1150187
"1,595,000",2,1,1515,,"1,053",Condo,1910,1 Car,2266 Pacific Ave Apt 4,San Francisco,CA,94115,6,6,7,$1811000 $1686737 $1925497,$1772500 $1673600 $1773300,$1628853 $1916936 $1581237
"649,500",1,1,613,,"1,060",Condo,1929,,2999 California St Unit 503,San Francisco,CA,94115,6,9,Not rated,$797000 $698213 $797047,$808300 $663600 $773900,$724370 $603653 $741625
"1,288,000",3,2,1399,2996,921,Single Family Home,1954,,2739 39th Ave,San Francisco,CA,94116,10,7,9,$1313000 $1010961 $1318237,$1371800 $1046000 $1380000,$1399948 $1107251 $1368134
"1,350,000",2,1,1573,2996,858,Single Family Home,1947,,2119 41st Ave,San Francisco,CA,94116,7,9,9,$1286000 $1047343 $1365678,$1425400 $920600 $1323800,$1511862 $1387292 $1639104
"1,195,000",2,1,1375,2996,869,Single Family Home,1927,,2146 21st Ave,San Francisco,CA,94116,7,6,8,$1323000 $968386 $1262722,$1657200 $1083200 $1631200,$1456103 $1472756 $1740080
"995,000",2,1,1011,3000,984,Single Family Home,1948,,2667 39th Ave,San Francisco,CA,94116,10,7,9,$1288000 $872399 $1137560,$1224500 $1018400 $1244300,$1197634 $986070 $1245873
"699,000",3,2,1400,,543,Single Family Home,1937,1 Car,2122 26th Ave,San Francisco,CA,94116,7,6,8,$1508000 $1150297 $1499924,$1543500 $1201800 $1586500,$1527715 $1105117 $1447617
"5,250,000",3,3,3205,2439,"1,638",Single Family Home,1916,,170 Upper Ter,San Francisco,CA,94117,2,4,8,$3749000 $3035274 $3548265,$4013700 $3700000 $3938800,$3709840 $2738731 $3131766
"3,875,000",3,4,3242,2874,"1,195",Single Family Home,1905,,55 Buena Vista Ter,San Francisco,CA,94117,2,4,8,$4080000 $2994367 $3500445,$4316500 $3191600 $4266900,$3682366 $3419592 $2835199
"1,695,000",3,2,1620,,"1,046",Condo,1997,1 Car,708 Haight St,San Francisco,CA,94117,2,4,8,$1512000 $1289378 $1507295,$1970800 $1389200 $1963900,$1764190 $1480093 $1692501
"949,000",2,2,741,,"1,281",Condo,1908,1 Car,1371 Grove St,San Francisco,CA,94117,2,9,Not rated,$920000 $797680 $932496,$980900 $808300 $1084200,$969141 $821812 $854327
"998,000",2,1,774,,"1,289",Condo,1900,,969 Hayes St Apt 3,San Francisco,CA,94117,2,2,6,$1047000 $1053755 $1231851,,$1019181 $866151 $990452
"8,495,000",4,3.5,4609,2548,"1,843",Single Family Home,1906,,3878 Jackson St,San Francisco,CA,94118,8,8,9,$6958000 $6762972 $7771426,$7920400 $6567900 $9206200,$7812333 $7332237 $8211562
"6,400,000",5,4.5,4410,4447,"1,451",Single Family Home,1923,,101 Commonwealth Ave,San Francisco,CA,94118,8,9,9,$6080000 $6042268 $6943255,$6949200 $4173400 $5494400,$6272653 $2961361 $3316505
"6,400,000",5,4.5,4410,4447,"1,451",Single Family Home,1923,,101 Commonwealth Ave,San Francisco,CA,94118,8,9,9,$6080000 $6017188 $6939137,$6949200 $4104300 $5193300,$6272653 $2935521 $3265659
"2,295,000",4,3,2355,,975,Condo,1948,2 Cars,66 Collins St,San Francisco,CA,94118,8,9,9,$2446000 $2120254 $2436413,$2471500 $2388800 $2729100,$2474855 $2751772 $2375899
"1,975,000",3,1.5,1770,,"1,116",Condo,1907,1 Car,1042 Lake St,San Francisco,CA,94118,1,9,8,$1930000 $1558796 $1791234,$2065000 $1553700 $2162400,$1974533 $1612744 $1942482
"1,259,000",3,1.5,1720,2063,732,Single Family Home,1914,,587 24th Ave,San Francisco,CA,94121,1,8,8,$1531000 $1554561 $1554561,$1505900 $1466000 $1466000,$1553118 $1547566 $1547566
"1,920,000",6,4,3559,3118,,Multi-Family Home,1977,2 Cars,172-174 18th Ave,San Francisco,CA,94121,1,8,8,$2185000 $1806249 $2151759,$2131700 $2037100 $2163200,
"1,499,000",5,2,2379,,630,Condo,1994,1 Car,879 39th Ave,San Francisco,CA,94121,7,8,9,$2861942 $2689868 $2830489,$2534200 $2101100 $1626500,
"995,000",2,1,1016,,979,Condo,1920,1 Car,6014 California St,San Francisco,CA,94121,1,8,8,$1334000 $1110279 $1322660,$1229200 $970400 $1316600,$1181053 $987580 $1140306
"2,395,000",3,2,2445,2375,980,Single Family Home,1923,,1501 6th Ave,San Francisco,CA,94122,4,8,8,$2518000 $1932573 $2358132,$2616700 $2308700 $2532500,$2553242 $1941523 $2259089
"1,095,000",3,2,1305,2996,839,Single Family Home,1959,,1347 47th Ave,San Francisco,CA,94122,7,9,9,$1440000 $1166821 $1423760,$1238200 $962800 $1349500,$1166068 $1009653 $1174797
"2,395,000",8,5,1873,,,Multi-Family Home,1955,1 Car,3844-3846 Irving St,San Francisco,CA,94122,7,9,9,$1484459 $1336134 $1554680,$1647900 $971000 $1592600,
"1,688,000",3,2,2996,,,Single Family Home,1929,,1450 39th Ave,San Francisco,CA,94122,7,9,9,$1413000 $1108283 $1352330,$1744400 $1026000 $1730000,$1561359 $1037101 $1528290
"1,375,000",2,2,1436,,958,Condo,1932,1 Car,927 Judah St,San Francisco,CA,94122,4,9,9,$1227000 $999907 $1220090,,
"3,250,000",4,3.5,2510,2500,"1,295",Single Family Home,1926,,2070 Beach St,San Francisco,CA,94123,8,9,Not rated,$2940000 $4249115 $3600000,$3881000 $3305300 $3834000,$3668426 $3219905 $3681993
"2,595,000",3,3,2021,,"1,284",Condo,2019,1 Car,2920 Franklin St,San Francisco,CA,94123,8,6,7,$2518000 $3065694 $2597364,$6455900 $1871600 $2188000,
"1,575,000",2,2,1520,,"1,036",Condo,1906,1 Car,3039 Octavia St,San Francisco,CA,94123,8,6,7,$1764000 $2307184 $1954728,,$1568715 $1547069 $1769089
"1,499,000",3,1.5,1278,,"1,173",Condo,1906,,2914 Fillmore St,San Francisco,CA,94123,8,7,6,$1589000 $2084380 $1765960,$1611400 $1561200 $1524700,$1563487 $1401547 $1602683
"875,000",1,1,768,,"1,139",Condo,1928,,3824 Scott St Apt 6,San Francisco,CA,94123,8,7,6,$1252000 $1338045 $1133639,,$1002536 $952012 $953720
"998,000",3,2,1449,2421,689,Single Family Home,1944,,45 Venus St,San Francisco,CA,94124,2,2,1,$1207000 $912356 $1240355,$1148100 $711100 $1038300,$1143938 $831651 $1033340
"798,000",6,2,1755,5000,,Single Family Home,1914,,1063 Ingerson Ave,San Francisco,CA,94124,5,2,3,$1202000 $839274 $1140998,$1113600 $849400 $1200700,$1220143 $998201 $1240282
"679,000",3,2,1567,,433,Condo,1995,1 Car,1 Jennings Ct,San Francisco,CA,94124,5,2,3,$902000 $674248 $916645,$973900 $654200 $978800,$843991 $780512 $947432
"849,000",2,2,1115,,761,Condo,2018,1 Car,52 Innes Ct Apt 306,San Francisco,CA,94124,7,2,4,$758000 $596450 $810878,,$1004622 $704678 $875574
"1,095,000",2,1,1529,2295,716,Single Family Home,1947,,122 Del Vale Ave,San Francisco,CA,94127,9,4,8,$1400000 $1190026 $1383819,$1430200 $1055300 $1426500,$1351203 $1079044 $1372293
"1,198,000",2,1,1200,2495,998,Single Family Home,1937,,978 Teresita Blvd,San Francisco,CA,94127,9,4,7,$1310000 $1126303 $1309718,$1397200 $976900 $1358100,$1221920 $747834 $860524
"998,000",3,2,1571,2500,635,Single Family Home,1908,,546 Monterey Blvd,San Francisco,CA,94127,4,4,7,$1358000 $1061784 $1234692,$1502300 - $1312800,$1344297 $1158651 $1333245
"1,549,000",5,3,2665,2922,581,Single Family Home,1959,,401 Molimo Dr,San Francisco,CA,94127,6,4,8,$2134000 $1706979 $1984955,$1899500 $1461800 $1883900,$1579929 $1435213 $1651481
"1,998,000",3,3,1892,3053,"1,056",Single Family Home,1932,,256 Fowler Ave,San Francisco,CA,94127,6,4,8,$1898000 $1511827 $1758024,$2013600 $1489900 $2021700,$2037895 $1572101 $1919238
"1,799,000",2,2.5,1633,2500,"1,102",Single Family Home,1913,,535 Laidley St,San Francisco,CA,94131,6,2,3,$1710000 $1568730 $1823489,$2202300 $1747300 $2245900,$2083339 $1871221 $2108886
"1,759,000",3,2.5,2048,,859,Condo,1900,1 Car,212 Day St Unit 212,San Francisco,CA,94131,Not rated,3,2,$2449000 $2421942 $2421942,$1765700 $1650800 $1650800,$1897967 $1542127 $1542127
"2,295,000",2,1,3446,,,Single Family Home,1926,2 Cars,4363 S 26th St,San Francisco,CA,94131,9,7,2,$1936000 $1603776 $1864226,$2197000 -  $2137500,$1964688 $1962982 $2212302
"1,195,000",2,1,1145,3293,"1,044",Single Family Home,1949,,72 Springfield Dr,San Francisco,CA,94132,10,4,4,$1383000 $1039008 $1266110,$1537000 $1144600 $1489500,$1355018 $1194653 $1468532
"1,648,000",6,2,3395,1703,485,Multi-Family Home,1910,,1307-1311 Mason St,San Francisco,CA,94133,8,6,7,$2156000 $2206183 $2385017,$1907200 $1767000 $2034800,
"1,225,000",2,2.5,1213,,"1,010",Condo,1914,,71 Castle St,San Francisco,CA,94133,8,6,9,$1566000 $1398647 $1512023,$1565300 $1085300 $1483700,$1394308 $1140995 $1268857
"1,149,000",2,2,1405,,818,Condo,1995,1 Car,600 Chestnut St Apt 203,San Francisco,CA,94133,8,8,6,$1457000 $1414855 $1529544,,$1501976 $1309789 $1497756
"1,250,000",2,2,980,,"1,276",Condo,1977,1 Car,373 Lombard St Apt 402,San Francisco,CA,94133,8,6,8,$1224000 $1188898 $1285271,,$1300578 $1125912 $1287492
"1,095,000",2,2,924,,,Condo,1987,1 Car,66 Bernard St Apt 1,San Francisco,CA,94133,8,6,9,$1069000 $1312841 $1419260,,$1017693 $1102743 $903985
"1,250,000",1,1,839,,,Condo,2018,1 Car,1731 Powell St Unit 302,San Francisco,CA,94133,,,,$1894000 $1204152 $1301762,,
"884,000",3,1,1054,1750,,Single Family Home,1958,,937 Somerset St,San Francisco,CA,94134,5,6,3,$993000 $667605 $897013,$1031400 $713100 $1022400,$1019884 $778722 $1037890
"998,000",3,2,1362,2495,733,Single Family Home,1948,,39 Tucker Ave,San Francisco,CA,94134,5,2,2,$1034000 $797289 $1071261,$1013600 $699800 $985100,$1018761 $728374 $1120489
"1,878,000",6,5,5084,4857,369,Single Family Home,2003,2 Cars,3733 San Bruno Ave,San Francisco,CA,94134,5,2,2,$1552000 $807345 $968156,$987000 - $1457800,$1748858 $1507155 $1683485
"599,000",1,1,804,,745,Condo,2007,1 Car,301 Crescent Ct Apt 3301,San Francisco,CA,94134,5,2,3,$594000 $498785 $670182,$638400 $525000 $669500,$627169 $510685 $593660
"898,000",2,1.5,1152,26,780,Townhome,1965,1 Car,938 Peninsula Ave,San Mateo,CA,94401,4,4,7,$864000 $669202 $891476,$983700 $736500 $970100,$862417 $751744 $887810
"1,369,000",2,2.5,1580,1420,866,Townhome,1999,2 Cars,316 S Humboldt St,San Mateo,CA,94401,6,7,3,$1347000 $919709 $1225188,$1549300 $876200 $1443100,$1454612 $1206672 $1494429
"1,599,000",2,2,1732,4018,923,Single Family Home,1941,2 Cars,59 Tilton Ter,San Mateo,CA,94401,6,3,7,$1311000 $983577 $1310271,$1321700 $1091400 $1253600,$1593583 $1233291 $1527395
"1,128,888",3,1,1030,4050,"1,096",Single Family Home,1946,1 Car,127 S Idaho St,San Mateo,CA,94401,4,5,7,$994000 $691910 $921727,$1176800 $767900 $1169100,$1113024 $913986 $1131946
"849,000",2,1,990,4060,990,Single Family Home,1945,1 Car,1010 E Santa Inez Ave,San Mateo,CA,94401,6,6,7,$1021000 $708232 $943471,$1153000 $665100 $1150500,$1071371 $982798 $1217167
"1,650,000",3,2,1820,4560,907,Single Family Home,1912,,418 Highland Ave,San Mateo,CA,94401,6,7,3,$1260000 $995641 $1326342,$1695600 $1265000 $1594400,$1281084 $1075847 $1332405
"1,988,000",4,3,2500,4725,795,Single Family Home,1941,1 Car,1011 Tilton Ave,San Mateo,CA,94401,4,5,7,$1443000 $811841 $1081493,$1956400 $917600 $1339800,$2027471 $957762 $1318856
"1,348,000",3,3,1320,5000,"1,021",Single Family Home,1949,1 Car,741 Fallon Ave,San Mateo,CA,94401,7,9,2,$1189000 $820357 $1092838,$1216600 $754100 $1231800,$1129317 $838053 $1060556
"1,324,777",4,2,1660,5000,798,Single Family Home,1950,2 Cars,1716 Newbridge Ave,San Mateo,CA,94401,5,9,2,$1362000 $907644 $1209117,$1368400 $801300 $1310000,$1331850 $972773 $1204751
"1,288,000",4,2,1370,5000,940,Single Family Home,1947,1 Car,100 S Quebec St,San Mateo,CA,94401,7,7,2,$1353000 $958739 $1277183,,$1469354 $1091572 $1351880
